date,home_name,away_name,home_score,away_score,home_wins,away_wins,home_losses,away_losses,home_win_percentage,away_win_percentage,home_winner
2022-10-27,San Jose Sharks,Toronto Maple Leafs,4,3,0.222,0.571,True
2022-10-27,Los Angeles Kings,Winnipeg Jets,4,6,0.5,0.5,False
2022-10-28,Vegas Golden Knights,Anaheim Ducks,4,0,0.75,0.143,True
2022-10-28,Columbus Blue Jackets,Boston Bruins,0,4,0.375,0.875,False
2022-10-28,New Jersey Devils,Colorado Avalanche,1,0,0.571,0.571,True
2022-10-28,Carolina Hurricanes,New York Islanders,2,6,0.667,0.429,False
2022-10-28,Vancouver Canucks,Pittsburgh Penguins,5,1,0.125,0.571,True
2022-10-28,Arizona Coyotes,Winnipeg Jets,2,3,0.333,0.571,False
2022-10-29,Dallas Stars,New York Rangers,3,6,0.625,0.375,False
2022-10-29,Florida Panthers,Ottawa Senators,5,3,0.5,0.571,True
2022-10-29,San Jose Sharks,Tampa Bay Lightning,3,4,0.3,0.5,False
2022-10-29,Los Angeles Kings,Toronto Maple Leafs,4,2,0.444,0.5,True
2022-10-29,St. Louis Blues,Montréal Canadiens,4,7,0.5,0.5,False
2022-10-29,Philadelphia Flyers,Carolina Hurricanes,3,4,0.714,0.571,False
2022-10-29,Buffalo Sabres,Chicago Blackhawks,4,3,0.571,0.571,True
2022-10-29,Detroit Red Wings,Minnesota Wild,2,1,0.429,0.429,True
2022-10-29,New York Islanders,Colorado Avalanche,5,4,0.5,0.5,True
2022-10-29,Nashville Predators,Washington Capitals,0,3,0.375,0.5,False
2022-10-29,Seattle Kraken,Pittsburgh Penguins,3,1,0.333,0.5,True
2022-10-29,Calgary Flames,Edmonton Oilers,2,3,0.833,0.625,False
2022-10-30,New Jersey Devils,Columbus Blue Jackets,7,1,0.625,0.333,True
2022-10-30,Chicago Blackhawks,Minnesota Wild,3,4,0.5,0.375,False
2022-10-30,Arizona Coyotes,New York Rangers,2,3,0.286,0.444,False
2022-10-30,Anaheim Ducks,Toronto Maple Leafs,4,3,0.125,0.444,True
2022-10-30,Vegas Golden Knights,Winnipeg Jets,2,1,0.778,0.625,True
2022-10-31,Buffalo Sabres,Detroit Red Wings,8,3,0.625,0.5,True
2022-10-31,Carolina Hurricanes,Washington Capitals,3,2,0.625,0.556,True
2022-10-31,St. Louis Blues,Los Angeles Kings,1,5,0.429,0.5,False
2022-11-01,Tampa Bay Lightning,Ottawa Senators,4,3,0.556,0.5,True
2022-11-01,New York Rangers,Philadelphia Flyers,1,0,0.5,0.625,True
2022-11-01,Washington Capitals,Vegas Golden Knights,2,3,0.5,0.8,False
2022-11-01,Minnesota Wild,Montréal Canadiens,4,1,0.444,0.556,True
2022-11-01,Pittsburgh Penguins,Boston Bruins,5,6,0.444,0.889,False
2022-11-01,Chicago Blackhawks,New York Islanders,1,3,0.444,0.556,False
2022-11-01,Dallas Stars,Los Angeles Kings,5,2,0.556,0.545,True
2022-11-01,Edmonton Oilers,Nashville Predators,7,4,0.667,0.333,True
2022-11-01,Calgary Flames,Seattle Kraken,4,5,0.714,0.4,False
2022-11-01,Arizona Coyotes,Florida Panthers,3,1,0.25,0.556,True
2022-11-01,Vancouver Canucks,New Jersey Devils,2,5,0.222,0.667,False
2022-11-01,San Jose Sharks,Anaheim Ducks,5,6,0.273,0.222,False
2022-11-02,Toronto Maple Leafs,Philadelphia Flyers,5,2,0.4,0.556,True
2022-11-02,Buffalo Sabres,Pittsburgh Penguins,6,3,0.667,0.4,True
2022-11-03,Tampa Bay Lightning,Carolina Hurricanes,3,4,0.6,0.667,False
2022-11-03,Ottawa Senators,Vegas Golden Knights,4,5,0.444,0.818,False
2022-11-03,Detroit Red Wings,Washington Capitals,3,1,0.444,0.455,True
2022-11-03,New York Rangers,Boston Bruins,2,5,0.545,0.9,False
2022-11-03,Winnipeg Jets,Montréal Canadiens,3,2,0.556,0.5,True
2022-11-03,St. Louis Blues,New York Islanders,2,5,0.375,0.6,False
2022-11-03,Minnesota Wild,Seattle Kraken,0,4,0.5,0.455,False
2022-11-03,Chicago Blackhawks,Los Angeles Kings,2,1,0.4,0.5,True
2022-11-03,Calgary Flames,Nashville Predators,1,4,0.625,0.3,False
2022-11-03,Edmonton Oilers,New Jersey Devils,3,4,0.7,0.7,False
2022-11-03,Vancouver Canucks,Anaheim Ducks,8,5,0.2,0.3,True
2022-11-03,Arizona Coyotes,Dallas Stars,2,7,0.333,0.6,False
2022-11-03,San Jose Sharks,Florida Panthers,3,4,0.25,0.5,False
2022-11-04,Colorado Avalanche,Columbus Blue Jackets,6,3,0.444,0.3,True
2022-11-04,Carolina Hurricanes,Buffalo Sabres,5,3,0.7,0.7,True
2022-11-05,Detroit Red Wings,New York Islanders,3,0,0.5,0.636,True
2022-11-05,Columbus Blue Jackets,Colorado Avalanche,1,5,0.273,0.5,False
2022-11-05,Winnipeg Jets,Chicago Blackhawks,4,0,0.6,0.455,True
2022-11-05,Edmonton Oilers,Dallas Stars,2,6,0.636,0.636,False
2022-11-05,Washington Capitals,Arizona Coyotes,2,3,0.417,0.3,False
2022-11-05,Toronto Maple Leafs,Boston Bruins,2,1,0.455,0.909,True
2022-11-05,Tampa Bay Lightning,Buffalo Sabres,5,3,0.545,0.636,True
2022-11-05,Ottawa Senators,Philadelphia Flyers,1,2,0.4,0.5,False
2022-11-05,Pittsburgh Penguins,Seattle Kraken,2,3,0.364,0.5,False
2022-11-05,Montréal Canadiens,Vegas Golden Knights,4,6,0.455,0.833,False
2022-11-05,Vancouver Canucks,Nashville Predators,3,4,0.273,0.364,False
2022-11-05,Calgary Flames,New Jersey Devils,3,4,0.556,0.727,False
2022-11-05,San Jose Sharks,Anaheim Ducks,4,5,0.231,0.273,False
2022-11-05,Los Angeles Kings,Florida Panthers,5,4,0.462,0.545,True
2022-11-06,New York Rangers,Detroit Red Wings,2,3,0.5,0.545,False
2022-11-06,Carolina Hurricanes,Toronto Maple Leafs,1,3,0.727,0.5,False
2022-11-06,Anaheim Ducks,Florida Panthers,3,5,0.333,0.5,False
2022-11-07,New York Islanders,Calgary Flames,4,3,0.583,0.5,True
2022-11-07,Boston Bruins,St. Louis Blues,3,1,0.833,0.333,True
2022-11-07,Washington Capitals,Edmonton Oilers,5,4,0.385,0.583,True
2022-11-08,Buffalo Sabres,Arizona Coyotes,1,4,0.583,0.364,False
2022-11-08,New Jersey Devils,Calgary Flames,3,2,0.75,0.455,True
2022-11-08,New York Rangers,New York Islanders,3,4,0.462,0.615,False
2022-11-08,Philadelphia Flyers,St. Louis Blues,5,1,0.545,0.3,True
2022-11-08,Ottawa Senators,Vancouver Canucks,4,6,0.364,0.25,False
2022-11-08,Toronto Maple Leafs,Vegas Golden Knights,3,4,0.538,0.846,False
2022-11-08,Detroit Red Wings,Montréal Canadiens,2,3,0.583,0.417,False
2022-11-08,Tampa Bay Lightning,Edmonton Oilers,2,3,0.583,0.538,False
2022-11-08,Winnipeg Jets,Dallas Stars,5,1,0.636,0.667,True
2022-11-08,Seattle Kraken,Nashville Predators,5,1,0.538,0.417,True
2022-11-08,Los Angeles Kings,Minnesota Wild,1,0,0.5,0.455,True
2022-11-09,Florida Panthers,Carolina Hurricanes,3,0,0.538,0.667,True
2022-11-09,Washington Capitals,Pittsburgh Penguins,1,4,0.429,0.333,False
2022-11-09,Montréal Canadiens,Vancouver Canucks,5,2,0.462,0.308,True
2022-11-09,Anaheim Ducks,Minnesota Wild,1,4,0.308,0.417,False
2022-11-10,Boston Bruins,Calgary Flames,3,1,0.846,0.417,True
2022-11-10,Carolina Hurricanes,Edmonton Oilers,7,2,0.615,0.571,True
2022-11-10,New Jersey Devils,Ottawa Senators,4,3,0.769,0.333,True
2022-11-10,Columbus Blue Jackets,Philadelphia Flyers,5,2,0.25,0.583,True
2022-11-10,Buffalo Sabres,Vegas Golden Knights,4,7,0.538,0.857,False
2022-11-10,Detroit Red Wings,New York Rangers,2,8,0.538,0.429,False
2022-11-10,New York Islanders,Arizona Coyotes,0,2,0.643,0.417,False
2022-11-10,St. Louis Blues,San Jose Sharks,5,3,0.273,0.214,True
2022-11-10,Colorado Avalanche,Nashville Predators,5,3,0.545,0.385,True
2022-11-10,Los Angeles Kings,Chicago Blackhawks,2,1,0.533,0.417,True
2022-11-11,Toronto Maple Leafs,Pittsburgh Penguins,2,4,0.5,0.385,False
2022-11-11,Washington Capitals,Tampa Bay Lightning,5,1,0.4,0.538,True
2022-11-11,Dallas Stars,San Jose Sharks,4,5,0.615,0.2,False
2022-11-11,Seattle Kraken,Minnesota Wild,0,1,0.571,0.462,False
2022-11-12,Philadelphia Flyers,Ottawa Senators,1,4,0.538,0.308,False
2022-11-12,Florida Panthers,Edmonton Oilers,2,4,0.571,0.533,False
2022-11-12,New Jersey Devils,Arizona Coyotes,4,2,0.786,0.462,True
2022-11-12,Buffalo Sabres,Boston Bruins,1,3,0.5,0.857,False
2022-11-12,Montréal Canadiens,Pittsburgh Penguins,5,4,0.5,0.429,True
2022-11-12,Toronto Maple Leafs,Vancouver Canucks,3,2,0.467,0.286,True
2022-11-12,New York Islanders,Columbus Blue Jackets,4,3,0.6,0.308,True
2022-11-12,Nashville Predators,New York Rangers,2,1,0.357,0.467,True
2022-11-12,Colorado Avalanche,Carolina Hurricanes,4,1,0.583,0.643,True
2022-11-12,Anaheim Ducks,Chicago Blackhawks,2,3,0.286,0.385,False
2022-11-12,Vegas Golden Knights,St. Louis Blues,2,3,0.867,0.333,False
2022-11-12,Calgary Flames,Winnipeg Jets,3,2,0.385,0.667,True
2022-11-12,Los Angeles Kings,Detroit Red Wings,4,3,0.562,0.5,True
2022-11-13,Philadelphia Flyers,Dallas Stars,1,5,0.5,0.571,False
2022-11-13,Minnesota Wild,San Jose Sharks,2,3,0.5,0.25,False
2022-11-13,Boston Bruins,Vancouver Canucks,5,2,0.867,0.267,True
2022-11-13,New York Rangers,Arizona Coyotes,4,1,0.438,0.429,True
2022-11-13,Tampa Bay Lightning,Washington Capitals,6,3,0.5,0.438,True
2022-11-13,Seattle Kraken,Winnipeg Jets,2,3,0.533,0.615,False
2022-11-14,Ottawa Senators,New York Islanders,2,4,0.357,0.625,False
2022-11-14,Calgary Flames,Los Angeles Kings,6,5,0.429,0.588,True
2022-11-14,Chicago Blackhawks,Carolina Hurricanes,0,3,0.429,0.6,False
2022-11-14,Colorado Avalanche,St. Louis Blues,2,3,0.615,0.385,False
2022-11-15,Tampa Bay Lightning,Dallas Stars,5,4,0.533,0.6,True
2022-11-15,Montréal Canadiens,New Jersey Devils,1,5,0.533,0.8,False
2022-11-15,Pittsburgh Penguins,Toronto Maple Leafs,2,5,0.4,0.5,False
2022-11-15,Buffalo Sabres,Vancouver Canucks,4,5,0.467,0.25,False
